Name,Version,Architecture,Description
libgnutls30:amd64,3.4.10-4ubuntu1.4,amd64,GNU TLS library - main runtime library
libgoa-1.0-0b:amd64,3.18.3-1ubuntu2,amd64,library for GNOME Online Accounts
libgoa-1.0-common,3.18.3-1ubuntu2,all,library for GNOME Online Accounts - common files
libgom-1.0-0:amd64,0.3.1-1,amd64,Object mapper from GObjects to SQLite
libgom-1.0-common,0.3.1-1,all,libgom architecture-independent files
libgomp1:amd64,5.4.0-6ubuntu1~16.04.9,amd64,GCC OpenMP (GOMP) support library
libgpg-error0:amd64,1.21-2ubuntu1,amd64,library for common error values and messages in GnuPG components
libgpgme11:amd64,1.6.0-1,amd64,GPGME - GnuPG Made Easy (library)
libgphoto2-6:amd64,2.5.9-3,amd64,gphoto2 digital camera library
libgphoto2-l10n,2.5.9-3,all,gphoto2 digital camera library - localized messages
libgphoto2-port12:amd64,2.5.9-3,amd64,gphoto2 digital camera port library
libgpm2:amd64,1.20.4-6.1,amd64,General Purpose Mouse - shared library
libgpod-common,0.8.3-6ubuntu2,amd64,common files for libgpod
libgpod4:amd64,0.8.3-6ubuntu2,amd64,library to read and write songs and artwork to an iPod
libgrail6,3.1.0+16.04.20160125-0ubuntu1,amd64,Gesture Recognition And Instantiation Library
libgraphite2-3:amd64,1.3.10-0ubuntu0.16.04.1,amd64,Font rendering engine for Complex Scripts -- library
libgrilo-0.2-1:amd64,0.2.15-1,amd64,Framework for discovering and browsing media - Shared libraries
libgs9:amd64,9.18~dfsg~0-0ubuntu2.8,amd64,interpreter for the PostScript language and for PDF - Library
libgs9-common,9.18~dfsg~0-0ubuntu2.8,all,interpreter for the PostScript language and for PDF - common files
libgsettings-qt1:amd64,0.1+16.04.20160329-0ubuntu1,amd64,Library to access GSettings from Qt
libgssapi-krb5-2:amd64,1.13.2+dfsg-5ubuntu2,amd64,MIT Kerberos runtime libraries - krb5 GSS-API Mechanism
libgssapi3-heimdal:amd64,1.7~git20150920+dfsg-4ubuntu1.16.04.1,amd64,Heimdal Kerberos - GSSAPI support library
libgstreamer-plugins-base1.0-0:amd64,1.8.3-1ubuntu0.2,amd64,"GStreamer libraries from the ""base"" set"
libgstreamer-plugins-good1.0-0:amd64,1.8.3-1ubuntu0.4,amd64,"GStreamer development files for libraries from the ""good"" set"
libgstreamer1.0-0:amd64,1.8.3-1~ubuntu0.1,amd64,Core GStreamer libraries and elements
libgtk-3-0:amd64,3.18.9-1ubuntu3.3,amd64,GTK+ graphical user interface library
libgtk-3-bin,3.18.9-1ubuntu3.3,amd64,programs for the GTK+ graphical user interface library
libgtk-3-common,3.18.9-1ubuntu3.3,all,common files for the GTK+ graphical user interface library
libgtk2-perl,2:1.2498-1,amd64,Perl interface to the 2.x series of the Gimp Toolkit library
libgtk2.0-0:amd64,2.24.30-1ubuntu1.16.04.2,amd64,GTK+ graphical user interface library
libgtk2.0-bin,2.24.30-1ubuntu1.16.04.2,amd64,programs for the GTK+ graphical user interface library
libgtk2.0-common,2.24.30-1ubuntu1.16.04.2,all,common files for the GTK+ graphical user interface library
libgtkmm-3.0-1v5:amd64,3.18.0-1,amd64,C++ wrappers for GTK+ (shared libraries)
libgtksourceview-3.0-1:amd64,3.18.2-1,amd64,shared libraries for the GTK+ syntax highlighting widget
libgtksourceview-3.0-common,3.18.2-1,all,common files for the GTK+ syntax highlighting widget
libgtkspell3-3-0:amd64,3.0.7-2,amd64,spell-checking addon for GTK+'s TextView widget
libgtop-2.0-10:amd64,2.32.0-1,amd64,gtop system monitoring library (shared)
libgtop2-common,2.32.0-1,all,gtop system monitoring library (common)
libgucharmap-2-90-7:amd64,1:3.18.2-1ubuntu1,amd64,Unicode browser widget library (shared library)
libgudev-1.0-0:amd64,1:230-2,amd64,GObject-based wrapper library for libudev
libgusb2:amd64,0.2.9-0ubuntu1,amd64,GLib wrapper around libusb1
libgutenprint2,5.2.11-1,amd64,runtime for the Gutenprint printer driver library
libgweather-3-6:amd64,3.18.2-0ubuntu0.2,amd64,GWeather shared library
libgweather-common,3.18.2-0ubuntu0.2,all,GWeather common files
libgxps2:amd64,0.2.3.2-1,amd64,handling and rendering XPS documents (library)
